symbol,date,price
Bitcoin,Jan-00,39.81
Bitcoin,Feb-00,36.35
Bitcoin,Mar-00,43.22
Bitcoin,Apr-00,28.37
Bitcoin,May-00,25.45
Bitcoin,Jun-00,32.54
Bitcoin,Jul-00,28.4
Bitcoin,Aug-00,28.4
Bitcoin,Sep-00,24.53
Bitcoin,Oct-00,28.02
Bitcoin,Nov-00,23.34
Bitcoin,Dec-00,17.65
Bitcoin,Jan-01,24.84
Bitcoin,Feb-01,24
Bitcoin,Mar-01,22.25
Bitcoin,Apr-01,27.56
Bitcoin,May-01,28.14
Bitcoin,Jun-01,29.7
Bitcoin,Jul-01,26.93
Bitcoin,Aug-01,23.21
Bitcoin,Sep-01,20.82
Bitcoin,Oct-01,23.65
Bitcoin,Nov-01,26.12
Bitcoin,Dec-01,26.95
Bitcoin,Jan-02,25.92
Bitcoin,Feb-02,23.73
Bitcoin,Mar-02,24.53
Bitcoin,Apr-02,21.26
Bitcoin,May-02,20.71
Bitcoin,Jun-02,22.25
Bitcoin,Jul-02,19.52
Bitcoin,Aug-02,19.97
Bitcoin,Sep-02,17.79
Bitcoin,Oct-02,21.75
Bitcoin,Nov-02,23.46
Bitcoin,Dec-02,21.03
Bitcoin,Jan-03,19.31
Bitcoin,Feb-03,19.34
Bitcoin,Mar-03,19.76
Bitcoin,Apr-03,20.87
Bitcoin,May-03,20.09
Bitcoin,Jun-03,20.93
Bitcoin,Jul-03,21.56
Bitcoin,Aug-03,21.65
Bitcoin,Sep-03,22.69
Bitcoin,Oct-03,21.45
Bitcoin,Nov-03,21.1
Bitcoin,Dec-03,22.46
Bitcoin,Jan-04,22.69
Bitcoin,Feb-04,21.77
Bitcoin,Mar-04,20.46
Bitcoin,Apr-04,21.45
Bitcoin,May-04,21.53
Bitcoin,Jun-04,23.44
Bitcoin,Jul-04,23.38
Bitcoin,Aug-04,22.47
Bitcoin,Sep-04,22.76
Bitcoin,Oct-04,23.02
Bitcoin,Nov-04,24.6
Bitcoin,Dec-04,24.52
Bitcoin,Jan-05,24.11
Bitcoin,Feb-05,23.15
Bitcoin,Mar-05,22.24
Bitcoin,Apr-05,23.28
Bitcoin,May-05,23.82
Bitcoin,Jun-05,22.93
Bitcoin,Jul-05,23.64
Bitcoin,Aug-05,25.35
Bitcoin,Sep-05,23.83
Bitcoin,Oct-05,23.8
Bitcoin,Nov-05,25.71
Bitcoin,Dec-05,24.29
Bitcoin,Jan-06,26.14
Bitcoin,Feb-06,25.04
Bitcoin,Mar-06,25.36
Bitcoin,Apr-06,22.5
