symbol,date,price
Litecoin,Jan 2000,39.81
Litecoin,Feb 2000,36.35
Litecoin,Mar 2000,43.22
Litecoin,Apr 2000,28.37
Litecoin,May 2000,25.45
Litecoin,Jun 2000,32.54
Litecoin,Jul 2000,28.4
Litecoin,Aug 2000,28.4
Litecoin,Sep 2000,24.53
Litecoin,Oct 2000,28.02
Litecoin,Nov 2000,23.34
Litecoin,Dec 2000,17.65
Litecoin,Jan 2001,24.84
Litecoin,Feb 2001,24
Litecoin,Mar 2001,22.25
Litecoin,Apr 2001,27.56
Litecoin,May 2001,28.14
Litecoin,Jun 2001,29.7
Litecoin,Jul 2001,26.93
Litecoin,Aug 2001,23.21
Litecoin,Sep 2001,20.82
Litecoin,Oct 2001,23.65
Litecoin,Nov 2001,26.12
Litecoin,Dec 2001,26.95
Litecoin,Jan 2002,25.92
Litecoin,Feb 2002,23.73
Litecoin,Mar 2002,24.53
Litecoin,Apr 2002,21.26
Litecoin,May 2002,20.71
Litecoin,Jun 2002,22.25
Litecoin,Jul 2002,19.52
Litecoin,Aug 2002,19.97
Litecoin,Sep 2002,17.79
Litecoin,Oct 2002,21.75
Litecoin,Nov 2002,23.46
Litecoin,Dec 2002,21.03
Litecoin,Jan 2003,19.31
Litecoin,Feb 2003,19.34
Litecoin,Mar 2003,19.76
Litecoin,Apr 2003,20.87
Litecoin,May 2003,20.09
Litecoin,Jun 2003,20.93
Litecoin,Jul 2003,21.56
Litecoin,Aug 2003,21.65
Litecoin,Sep 2003,22.69
Litecoin,Oct 2003,21.45
Litecoin,Nov 2003,21.1
Litecoin,Dec 2003,22.46
Litecoin,Jan 2004,22.69
Litecoin,Feb 2004,21.77
Litecoin,Mar 2004,20.46
Litecoin,Apr 2004,21.45
Litecoin,May 2004,21.53
Litecoin,Jun 2004,23.44
Litecoin,Jul 2004,23.38
Litecoin,Aug 2004,22.47
Litecoin,Sep 2004,22.76
Litecoin,Oct 2004,23.02
Litecoin,Nov 2004,24.6
Litecoin,Dec 2004,24.52
Litecoin,Jan 2005,24.11
Litecoin,Feb 2005,23.15
Litecoin,Mar 2005,22.24
Litecoin,Apr 2005,23.28
Litecoin,May 2005,23.82
Litecoin,Jun 2005,22.93
Litecoin,Jul 2005,23.64
Litecoin,Aug 2005,25.35
Litecoin,Sep 2005,23.83
